gene_name,go_terms,cog_class,cog_letter,b_number,mass_fraction,dataset_name,strain,growth_rate_hr,carbon_source
rpoH,GO:2000142; GO:0045893; GO:0006352; GO:0003700; GO:0001216; GO:0001123; GO:0001000; GO:0031421; GO:0009009; GO:0006310; GO:0000985; GO:0005515; GO:0001121; GO:0010468; GO:0005886; GO:0009408; GO:0005829; GO:0006355; GO:0006351; GO:0003677; GO:0016987; GO:0005737,information storage and processing,K,b3461,0.0003,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
rpoN,GO:2000142; GO:0006352; GO:0045893; GO:0001216; GO:0005829; GO:0016779; GO:0016740; GO:0006525; GO:0006355; GO:0003899; GO:0003677; GO:0016987,information storage and processing,K,b3202,0.000206,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
rsd,GO:1903507; GO:0010468; GO:0005737; GO:0005829; GO:0005515; GO:0006355; GO:0016989,information storage and processing,K,b3995,6.8e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
rseC,GO:0006979; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,T,b2570,6.59e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
rspA,GO:0005829; GO:0009063,poorly characterized,R,b1581,1.15e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sad,GO:0016620; GO:0042803; GO:0005829; GO:0016491; GO:0009013; GO:0055114; GO:0006807; GO:0009450; GO:0004777; GO:0009447; GO:0006527,metabolism,C,b1525,1.76e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sbp,GO:1901681; GO:1902358; GO:0042597; GO:0043199; GO:0030288; GO:0008272; GO:0015419; GO:0006790,metabolism,P,b3917,9.3e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sdaC,GO:0015171; GO:0006865; GO:0003333; GO:0016021; GO:0016020; GO:0005886; GO:0005887,metabolism,E,b2796,7.59e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sdhD,GO:0022900; GO:0055114; GO:0046872; GO:0016627; GO:0000104; GO:0016020; GO:0005886; GO:0020037; GO:0016021; GO:0006099; GO:0009060; GO:0017004; GO:0009055,metabolism,C,b0722,0.000534,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
setC,GO:1904659; GO:1902600; GO:0036448; GO:0015767; GO:0005351; GO:0034219; GO:0055085; GO:0005886; GO:0016021; GO:0016020; GO:0008643,metabolism,G,b3659,1.14e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
skp,GO:0042802; GO:0022417; GO:0006457; GO:0061077; GO:0009279; GO:0042597; GO:0030288; GO:0032978; GO:0043165; GO:0050821; GO:0051082; GO:0001530; GO:0005515,cellular processes and signaling,O,b0178,0.00133,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
slp,GO:0042802; GO:0019867; GO:0009279; GO:0016020; GO:0009279,cellular processes and signaling,M,b3506,1.15e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
slt,GO:0005515; GO:0009274; GO:0008932; GO:0009253; GO:0071555; GO:0042597; GO:0016020; GO:0004553; GO:0000270; GO:0030288; GO:0008933; GO:0016829,cellular processes and signaling,M,b4392,4.33e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
smf,GO:0005829; GO:0009294,information storage and processing,L,b4473,1.41e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
smg,GO:0005829,poorly characterized,S,b3284,0.0003,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
spy,GO:0005515; GO:0014070; GO:0051082; GO:1990507; GO:0061077; GO:0042803; GO:0030288; GO:0042597,cellular processes and signaling,O,b1743,0.000139,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sra,GO:0005737; GO:0022627; GO:0005829; GO:0006412; GO:0005840; GO:0003735,Not Assigned,Not Assigned,b1480,8.02e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ssb,GO:0051096; GO:0043085; GO:0008047; GO:0042802; GO:0006310; GO:0005515; GO:0003677; GO:0006974; GO:0006281; GO:0005829; GO:0000725; GO:0006298; GO:0006260; GO:0003697; GO:0009432,information storage and processing,L,b4059,0.000267,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
sxy,GO:0051091; GO:1903658; GO:0051090; GO:0030420; GO:0009290; GO:0005829; GO:0005515,information storage and processing,K,b0959,9.04e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
syd,GO:0016020; GO:0009898; GO:0005886; GO:0005829; GO:0043254; GO:0005515; GO:0031234; GO:0005737,Not Assigned,Not Assigned,b2793,3.57e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tag,GO:0005515; GO:0005829; GO:0006307; GO:0006284; GO:0003824; GO:0046872; GO:0016787; GO:0006974; GO:0008725; GO:0006281,information storage and processing,L,b3549,2.06e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tam,GO:0005829; GO:0032259; GO:0016740; GO:0008168; GO:0030798; GO:0005737,metabolism,C,b1519,7.94e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tap,GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,cellular processes and signaling,T,b1885,0.000559,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tar,GO:1901875; GO:0098561; GO:0071230; GO:0051260; GO:0050920; GO:0042803; GO:0009593; GO:0007172; GO:0043424; GO:0005887; GO:0004888; GO:0005515; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,cellular processes and signaling,T,b1886,0.000762,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tas,GO:0005829; GO:0034198; GO:0004033; GO:0055114; GO:0016491,poorly characterized,R,b2834,0.000137,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tdcA,GO:0043565; GO:0006355; GO:0003677; GO:0003700; GO:0070689; GO:0005829; GO:0000986; GO:0045893; GO:0005737,information storage and processing,K,b3118,1.76e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tdcC,GO:1902600; GO:0015171; GO:0032329; GO:0022889; GO:0016020; GO:0015293; GO:0006865; GO:0003333; GO:0015565; GO:0005886; GO:0015825; GO:0015826; GO:0015194; GO:0015195; GO:0015295; GO:0005887; GO:0016021,metabolism,E,b3116,3.97e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tdcR,GO:0005829; GO:0045893; GO:0003677,Not Assigned,Not Assigned,b3119,1.24e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tdh,GO:0006564; GO:0046872; GO:0016491; GO:0008198; GO:0019518; GO:0042802; GO:0046870; GO:0005737; GO:0055114; GO:0005829; GO:0030145; GO:0008270; GO:0006567; GO:0008743,metabolism,E,b3616,4.47e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tdk,GO:0008270; GO:0006259; GO:0042802; GO:0036198; GO:0046104; GO:0071897; GO:0005829; GO:0003824; GO:0016310; GO:0008152; GO:0046872; GO:0016740; GO:0016301; GO:0005737; GO:0005524; GO:0000166; GO:0004797,metabolism,F,b1238,5.29e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tesA,GO:0102991; GO:0016297; GO:0016296; GO:0016295; GO:0004320; GO:0004064; GO:0042597; GO:0016787; GO:0016298; GO:0042802; GO:0006629; GO:0006508; GO:0047617; GO:0016290; GO:0030288; GO:0004622; GO:0008233,metabolism,E,b0494,5.33e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tgt,GO:0101030; GO:0016763; GO:0046872; GO:0016757; GO:0016740; GO:0008033; GO:0006400; GO:0005829; GO:0002099; GO:0008616; GO:0008479; GO:0008270,information storage and processing,J,b0406,0.000256,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tig,GO:0000413; GO:0043335; GO:0061077; GO:0009408; GO:0016853; GO:0006457; GO:0005737; GO:0042802; GO:0015031; GO:0051301; GO:0043022; GO:0044183; GO:0065003; GO:0007049; GO:0005829; GO:0051083; GO:0005515; GO:0003755,cellular processes and signaling,O,b0436,0.00181,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tktA,GO:0032991; GO:0006098; GO:0072756; GO:0072747; GO:0071236; GO:0070301; GO:0045893; GO:0036245; GO:0005515; GO:0005829; GO:0046872; GO:0016740; GO:0003824; GO:0042803; GO:0030145; GO:0030976; GO:0009052; GO:0004802,metabolism,G,b2935,0.000651,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tktB,GO:0006098; GO:0005829; GO:0016740; GO:0003824; GO:0009052; GO:0046872; GO:0004802,metabolism,G,b2465,9.57e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tmk,GO:0046940; GO:0042803; GO:0009041; GO:0006227; GO:0005829; GO:0016740; GO:0016301; GO:0009165; GO:0016310; GO:0005737; GO:0006235; GO:0006233; GO:0005524; GO:0000166; GO:0004798; GO:0015949,metabolism,F,b1098,3.89e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tnaC,GO:0031554; GO:0090358; GO:0031556,Not Assigned,Not Assigned,b3707,2.53e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
topA,GO:0005515; GO:0016853; GO:0003677; GO:0006265; GO:0005694; GO:0005829; GO:0046872; GO:0003916; GO:0003917,information storage and processing,L,b1274,0.000173,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
topB,GO:0000287; GO:0043597; GO:0006261; GO:0098847; GO:0005515; GO:0016853; GO:0003916; GO:0003677; GO:0046872; GO:0006265; GO:0051304; GO:0006310; GO:0005829; GO:0003917,information storage and processing,L,b1763,5.51e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
torR,GO:0045893; GO:0032993; GO:0003700; GO:0001216; GO:0000976; GO:0005829; GO:0006355; GO:0003677; GO:0000160; GO:0000156; GO:0005737,information storage and processing,K,b0995,1.21e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tpr,GO:0005829,Not Assigned,Not Assigned,b1229,6.92e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tpx,GO:0005623; GO:0051920; GO:0098869; GO:0016684; GO:0016491; GO:0016209; GO:0004601; GO:0045454; GO:0005829; GO:0055114; GO:0034599; GO:0032843; GO:0042597; GO:0008379; GO:0005737; GO:0005515,cellular processes and signaling,O,b1324,0.00328,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
trg,GO:0098561; GO:0042803; GO:0005515; GO:0005887; GO:0004888; GO:0005886; GO:0016021; GO:0016020; GO:0007165; GO:0006935,cellular processes and signaling,T,b1421,0.00034,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
trpA,GO:0009507; GO:0009073; GO:0008652; GO:0006568; GO:0003824; GO:0005829; GO:0016829; GO:0004834; GO:0000162; GO:0005737,metabolism,E,b1260,0.000571,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tsf,GO:0005085; GO:0005829; GO:0008270; GO:0006412; GO:0005515; GO:0006414; GO:0003746; GO:0005737,information storage and processing,J,b0170,0.00231,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tsr,GO:0048870; GO:0043113; GO:0042803; GO:0032110; GO:0016021; GO:0016020; GO:0009593; GO:0007172; GO:0007165; GO:0006935; GO:0005887; GO:0005886; GO:0005515; GO:0004888; GO:0050920; GO:0051260; GO:0071230; GO:0098561; GO:1902021,cellular processes and signaling,T,b4355,0.00183,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tsx,GO:1901642; GO:0055085; GO:0016021; GO:0016020; GO:0015288; GO:0005337; GO:0015858; GO:0015471; GO:0046930; GO:0046718; GO:0006811; GO:0009279,cellular processes and signaling,M,b0411,0.000267,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
tus,GO:0006260; GO:0005829; GO:0071807; GO:0043565; GO:0006274; GO:0003677; GO:0005737,Not Assigned,Not Assigned,b1610,2.46e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
udk,GO:0008655; GO:0009224; GO:0005829; GO:0016773; GO:0043771; GO:0044211; GO:0044206; GO:0016310; GO:0016740; GO:0016301; GO:0005737; GO:0005524; GO:0000166; GO:0004849,metabolism,F,b2066,7.22e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
udp,GO:0032991; GO:0005524; GO:0046050; GO:0030955; GO:0006218; GO:0005737; GO:0042802; GO:0016763; GO:0009166; GO:0009116; GO:0003824; GO:0044206; GO:0006974; GO:0005829; GO:0016757; GO:0016740; GO:0004850,metabolism,F,b3831,0.000152,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ugd,GO:0005829; GO:0005515; GO:0000271; GO:0016616; GO:0016491; GO:0051287; GO:0009103; GO:0006065; GO:0055114; GO:0003979; GO:0009242,cellular processes and signaling,M,b2028,1.37e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uhpA,GO:0005829; GO:0006355; GO:0005737; GO:0003677; GO:0000160,information storage and processing,K,b3669,0.000108,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uhpB,GO:0000160; GO:0016787; GO:0006470; GO:0023014; GO:0018106; GO:0016740; GO:0016310; GO:0016301; GO:0016021; GO:0016020; GO:0005886; GO:0004673; GO:0046983; GO:0004721; GO:0046777; GO:0005887; GO:0000166; GO:0005524; GO:0000155,cellular processes and signaling,T,b3668,3.39e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uhpC,GO:0022857; GO:0031226; GO:0005886; GO:0055085; GO:0016020; GO:0005887; GO:0000160; GO:0016021,metabolism,G,b3667,1.66e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uhpT,GO:0022857; GO:0006817; GO:0055085; GO:0008643; GO:0005887; GO:0015712; GO:0015760; GO:0015526; GO:0005886; GO:0016021; GO:0016020,metabolism,G,b3666,0.00023,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ung,GO:0005739; GO:0005634; GO:0097510; GO:0016799; GO:0006284; GO:0004844; GO:0005829; GO:0016787; GO:0006974; GO:0005515; GO:0006281; GO:0005737,information storage and processing,L,b2580,6.78e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uof,GO:0006417,Not Assigned,Not Assigned,b4637,0.000244,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
upp,GO:0008655; GO:0000287; GO:0009116; GO:0006206; GO:0006223; GO:0044206; GO:0042802; GO:0008152; GO:0003824; GO:0005525; GO:0000166; GO:0005829; GO:0016757; GO:0016740; GO:0004845,metabolism,F,b2498,0.000162,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uraA,GO:0098721; GO:0022857; GO:0042803; GO:0016021; GO:0055085; GO:0015857; GO:0015210; GO:0005887; GO:0015505; GO:0005886; GO:0016020,metabolism,F,b2497,3.85e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
usg,GO:0055114; GO:0005515; GO:0005829; GO:0051287; GO:0046983; GO:0016620; GO:0008652,metabolism,E,b2319,7.9e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
uup,GO:0006438; GO:0004832; GO:0042255; GO:0005515; GO:0009314; GO:0005886; GO:0070894; GO:0003677; GO:0016887; GO:0005524; GO:0000166; GO:0005737,poorly characterized,R,b0949,9.41e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ves,GO:0070417,cellular processes and signaling,T,b1742,0.000125,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
vsr,GO:0090305; GO:0005829; GO:0016787; GO:0006974; GO:0006281; GO:0004519; GO:0004518; GO:0005515; GO:0043765; GO:0046872; GO:0006298; GO:0003677,information storage and processing,L,b1960,1.69e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
wza,GO:0005515; GO:0046377; GO:0055085; GO:0000271; GO:0015159; GO:0015288; GO:0046930; GO:0009279; GO:0016021; GO:0016020; GO:0015774; GO:0008643; GO:0006811,cellular processes and signaling,M,b2062,2.62e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
wzb,GO:0006470; GO:0035335; GO:0016787; GO:0004721; GO:0000271; GO:0005829; GO:0004725; GO:0009242,cellular processes and signaling,T,b2061,2.44e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
wzc,GO:0005515; GO:0042802; GO:0045226; GO:0016740; GO:0016301; GO:0000271; GO:0016887; GO:0005887; GO:0038083; GO:0009103; GO:0016310; GO:0005524; GO:0000166; GO:0005886; GO:0016021; GO:0016020; GO:0004713; GO:0009242,cellular processes and signaling,M,b2060,3.39e-07,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
xapB,GO:0015862; GO:0015861; GO:0015213; GO:0015212; GO:0005887; GO:1901642; GO:0015863; GO:0015858; GO:0005337; GO:0055086; GO:0015553; GO:0005886; GO:0016021; GO:0016020,Not Assigned,Not Assigned,b2406,3.11e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
xylE,GO:1902600; GO:0005351; GO:0022857; GO:0055085; GO:0015753; GO:0005887; GO:0015519; GO:0005886; GO:0016021; GO:0016020; GO:0015293; GO:0008643,Not Assigned,Not Assigned,b4031,5.28e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ydhC,GO:1990961; GO:0042910; GO:0006855; GO:0005887; GO:0055085; GO:0005886; GO:0016021; GO:0016020,metabolism,G,b1660,8.15e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
yedW,GO:0005829; GO:0003677; GO:0045893; GO:0045892; GO:0032993; GO:0001216; GO:0000976; GO:0000156; GO:0005515; GO:0003700; GO:0006355; GO:0005737; GO:0000160; GO:0006351,information storage and processing,K,b1969,7e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
yehT,GO:0005829; GO:0005515; GO:0003677; GO:0000160; GO:0006355,information storage and processing,K,b2125,7.56e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ygaY,GO:0005886,Not Assigned,Not Assigned,b2681,2.12e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ygaZ,GO:0015562; GO:0005304; GO:0005887; GO:1903785; GO:0055085; GO:0005886; GO:0016021; GO:0016020,metabolism,E,b2682,7.49e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ynjE,GO:0019346; GO:0016740; GO:0042597; GO:0016783; GO:0004792,metabolism,P,b1757,3.9e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
ypdB,GO:0005829; GO:0003677; GO:0006355; GO:0046677; GO:0048870; GO:1900192; GO:0005737; GO:0000160,information storage and processing,K,b2381,3.23e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
zitB,GO:0055085; GO:0006812; GO:0098655; GO:0071577; GO:0008324; GO:0005385; GO:0005886; GO:0016021; GO:0016020; GO:0006829; GO:0006811,metabolism,P,b0752,2.78e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
zraR,GO:2000144; GO:0006351; GO:0043565; GO:0008134; GO:0006355; GO:0005829; GO:0005737; GO:0005524; GO:0003677; GO:0000166; GO:0000160; GO:0000156,cellular processes and signaling,T,b4004,6.83e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
zraS,GO:0000160; GO:0000155; GO:0023014; GO:0036460; GO:0007165; GO:0018106; GO:0016772; GO:0016740; GO:0016310; GO:0016301; GO:0016021; GO:0016020; GO:0005886; GO:0004673; GO:0071294; GO:0071284; GO:0046777; GO:0005887; GO:0000166; GO:0005524,Not Assigned,Not Assigned,b4003,7.41e-06,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
zur,GO:1900376; GO:0045892; GO:0044212; GO:0008270; GO:0042802; GO:0032993; GO:0001217; GO:0000976; GO:0003700; GO:0006355; GO:0005829; GO:0003677; GO:0006351,metabolism,P,b4046,4.44e-05,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
zwf,GO:0016614; GO:0005515; GO:0042802; GO:0010699; GO:0016491; GO:0050661; GO:0006098; GO:0005829; GO:0009372; GO:0055114; GO:0006006; GO:0005975; GO:0004345,metabolism,G,b1852,0.000234,Balakrishnan et al. 2022,NQ1243,0.75,0.2% glucose (c limitation)
aas,GO:0016874; GO:0016746; GO:0016740; GO:0016020; GO:0003824; GO:0008654; GO:0008152; GO:0006631; GO:0005886; GO:0016021; GO:0005524; GO:0000166; GO:0008779; GO:0008922,metabolism,Q,b2836,2.83e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aat,GO:0016755; GO:0016746; GO:0016740; GO:0030163; GO:0005829; GO:0008914; GO:0005737,cellular processes and signaling,O,b0885,3.8e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aceE,GO:0045250; GO:0042803; GO:0030976; GO:0000287; GO:0016491; GO:0003824; GO:0042802; GO:0004738; GO:0055114; GO:0046872; GO:0006096; GO:0005515; GO:0004739,metabolism,C,b0114,0.000961,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aceF,GO:0030523; GO:0016407; GO:0016746; GO:0016740; GO:0006090; GO:0006086; GO:0045254; GO:0031405; GO:0006096; GO:0005737; GO:0005515; GO:0004742,metabolism,C,b0115,0.000641,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
ackA,GO:0000287; GO:0044011; GO:0006083; GO:0046872; GO:0016774; GO:0016740; GO:0016301; GO:0006082; GO:0005737; GO:0019542; GO:0019413; GO:0006085; GO:0008270; GO:0005524; GO:0000166; GO:0005829; GO:0016310; GO:0008776,metabolism,C,b2296,0.000237,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
acpP,GO:0008289; GO:0008610; GO:0006631; GO:0006629; GO:0005829; GO:0005515; GO:0042493; GO:0031177; GO:0009245; GO:0006633; GO:0005737; GO:0000036; GO:0000035,metabolism,Q,b1094,0.00826,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
acrB,GO:0042908; GO:0015299; GO:0055085; GO:0022857; GO:0015562; GO:0046677; GO:0030288; GO:0015567; GO:0015895; GO:0015908; GO:0042931; GO:0042930; GO:0015125; GO:0009636; GO:0015721; GO:1990281; GO:0042802; GO:0005515; GO:0005887; GO:0042493; GO:0005886; GO:0016021; GO:0016020,cellular processes and signaling,V,b0462,0.000223,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
acs,GO:0006935; GO:0006476; GO:0005829; GO:0034421; GO:0033558; GO:0018394; GO:0016874; GO:0003824; GO:0046872; GO:0019427; GO:0016208; GO:0005524; GO:0000166; GO:0003987; GO:0050218; GO:0045733,metabolism,I,b4069,0.000717,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
ada,GO:0018125; GO:0045893; GO:0045892; GO:0005829; GO:0005515; GO:0016740; GO:0008168; GO:0008152; GO:0046872; GO:0043565; GO:0003700; GO:0080111; GO:0006355; GO:0006307; GO:0032259; GO:0008270; GO:0006974; GO:0003824; GO:0003677; GO:0003908; GO:0006281,information storage and processing,L,b2213,1.27e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
add,GO:0008270; GO:0046103; GO:0046101; GO:0019239; GO:0016787; GO:0043103; GO:0032261; GO:0015950; GO:0006154; GO:0009168; GO:0009117; GO:0006974; GO:0005829; GO:0046872; GO:0004000,metabolism,F,b1623,7.44e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
adk,GO:0046940; GO:0006165; GO:0004550; GO:0019205; GO:0016776; GO:0016740; GO:0016301; GO:0009165; GO:0006139; GO:0005737; GO:0000166; GO:0044209; GO:0006172; GO:0005829; GO:0016310; GO:0000287; GO:0016208; GO:0015951; GO:0005524; GO:0005515; GO:0004017,metabolism,F,b0474,0.000236,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aer,GO:0005887; GO:0004888; GO:0006935; GO:0042802; GO:0052131; GO:0005886; GO:0016021; GO:0016020; GO:0007165,cellular processes and signaling,T,b3072,0.000215,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aes,GO:0009056; GO:0016787; GO:0042803; GO:0034338; GO:0005829; GO:0005515; GO:0043433; GO:0051346; GO:0052689; GO:0008126; GO:0005737,metabolism,I,b0476,1.38e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
agp,GO:0006007; GO:0016311; GO:0016787; GO:0030288; GO:0042803; GO:0042597; GO:0008877; GO:0016158,Not Assigned,Not Assigned,b1002,0.000108,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
ahpF,GO:0005623; GO:0022900; GO:0009321; GO:0050660; GO:0016491; GO:0051287; GO:0045454; GO:0015035; GO:0009055; GO:0000302; GO:0008785; GO:0071949; GO:0055114; GO:0005829,cellular processes and signaling,V,b0606,0.000156,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
ahr,GO:0016616; GO:0005829; GO:0006631; GO:0006629; GO:0016491; GO:0008106; GO:0055114; GO:0046872; GO:0008270,metabolism,G,b4269,9.62e-06,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
aidB,GO:0042802; GO:0006974; GO:0016627; GO:0016491; GO:0003995; GO:0005515; GO:0005737; GO:0045892; GO:0043565; GO:0055114; GO:0003677; GO:0008470,metabolism,I,b4187,4.09e-06,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
ais,GO:0016311; GO:0016791; GO:0008653; GO:0042597; GO:0016787,Not Assigned,Not Assigned,b2252,2.25e-06,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
alkB,GO:0005515; GO:0103053; GO:0055114; GO:0046872; GO:0016491; GO:0006974; GO:0080111; GO:0070989; GO:0043734; GO:0042245; GO:0035553; GO:0035552; GO:0035515; GO:0051213; GO:0006307; GO:0008198; GO:0006281,information storage and processing,L,b2212,3.21e-06,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
alr,GO:0042803; GO:0071555; GO:0005829; GO:0016853; GO:0003824; GO:0030170; GO:0006522; GO:0030632; GO:0009252; GO:0008360; GO:0008784,cellular processes and signaling,M,b4053,9.85e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
alx,GO:0071467; GO:0016021; GO:0016020; GO:0005886,metabolism,P,b3088,2.05e-05,Balakrishnan et al. 2022,NQ1243,0.78,0.2% glucose (c limitation)
